train_loss,valid_loss
0.992838,0.297538
0.395792,0.286009
0.808543,0.283721
0.655416,0.281161
0.656944,0.271528
0.844082,0.266751
0.850108,0.267993
0.715700,0.267624
0.694242,0.259900
0.522104,0.253487
0.580558,0.248855
0.884167,0.247147
0.781125,0.248374
0.672486,0.243752
0.775627,0.244153
0.418348,0.239867
0.524056,0.237174
0.967638,0.236764
0.606266,0.238428
0.265291,0.228562
0.470240,0.230874
0.589916,0.232333
0.791720,0.236899
0.679970,0.244172
0.444222,0.254698
0.590222,0.253673
0.957070,0.261659
0.634729,0.257554
0.613091,0.247021
0.638785,0.230237
0.629344,0.221539
0.469795,0.220963
0.309010,0.225145
0.360577,0.228033
1.162181,0.224119
0.369331,0.232501
0.678848,0.256278
0.918048,0.262372
0.711985,0.238179
0.300823,0.214562
0.293802,0.217024
0.507349,0.231389
0.668822,0.232852
0.787210,0.228661
0.478891,0.224153
0.721140,0.239320
0.615625,0.243047
0.451824,0.222710
0.498100,0.233689
0.641293,0.231978
0.849975,0.226235
0.629317,0.231279
0.861185,0.253369
0.743479,0.247948
0.401287,0.234213
0.359833,0.227239
0.620442,0.206664
0.553545,0.196098
0.687704,0.202419
0.339142,0.197379
0.517169,0.193957
0.421281,0.195975
0.927607,0.202786
0.637501,0.211090
0.547299,0.207273
0.938327,0.224450
0.535601,0.241728
0.464047,0.234485
0.601540,0.263942
0.308464,0.318363
0.552922,0.264673
0.438380,0.257330
0.435760,0.227006
0.647156,0.220819
0.665831,0.195250
0.426929,0.189617
0.861686,0.204474
0.529710,0.197562
0.466154,0.199979
0.582734,0.215826
0.405834,0.210234
0.477471,0.215869
0.698043,0.265617
0.547325,0.238394
0.379658,0.232321
0.664631,0.189726
0.510487,0.182814
0.405963,0.183434
0.550157,0.178362
0.594866,0.181421
0.729883,0.222751
0.308095,0.178748
0.512108,0.275845
0.873033,0.330552
0.464842,0.297444
0.734134,0.249675
1.161540,0.288594
0.532178,0.207496
0.310025,0.240477
0.520602,0.173392
0.559734,0.182521
0.261851,0.172051
0.513918,0.175093
0.367415,0.163919
0.411960,0.172846
0.475490,0.166801
0.471047,0.169257
0.521759,0.168352
0.549684,0.181704
0.847486,0.196384
0.316221,0.189164
0.786737,0.205984
0.604999,0.255228
0.355782,0.225620
0.415077,0.219842
0.867206,0.226597
0.523281,0.196604
0.873868,0.214014
0.396406,0.238532
0.302181,0.199311
0.737927,0.219905
0.745443,0.243022
0.753284,0.291939
0.666587,0.295308
0.406589,0.261233
0.426608,0.205918
0.619062,0.199830
0.613488,0.183930
0.529240,0.196965
0.426335,0.183268
0.286291,0.188624
0.448397,0.215206
0.575256,0.196331
0.398026,0.195141
0.296302,0.189550
0.284469,0.171097
0.622330,0.185941
0.620224,0.249047
0.566259,0.399586
0.655185,0.245958
0.315392,0.231813
0.837967,0.187278
0.769490,0.259997
0.376925,0.222845
0.201570,0.216447
0.404027,0.211201
0.575964,0.215434
0.680206,0.213601
0.402097,0.206098
0.514189,0.194767
0.409692,0.182135
0.826927,0.206345
0.774074,0.211073
0.726282,0.219653
0.656640,0.238591
0.320458,0.208358
0.278907,0.202685
0.825185,0.197362
0.540267,0.192394
0.690263,0.181478
0.267796,0.164898
0.648045,0.174343
0.357184,0.172911
0.502627,0.183985
0.760275,0.185087
0.326467,0.186801
0.575604,0.185973
0.343939,0.169966
0.726550,0.195580
0.698534,0.201274
0.494340,0.225782
0.497955,0.208870
0.502609,0.206644
0.654687,0.186570
0.554718,0.183355
0.630107,0.236326
0.211300,0.195076
0.469779,0.192275
0.478240,0.179416
0.429065,0.169892
0.663791,0.188350
0.767425,0.197231
0.298252,0.180339
0.213406,0.164723
0.612719,0.197566
0.756904,0.217221
0.428208,0.200455
0.206187,0.162550
0.474427,0.163385
0.726304,0.176771
0.578557,0.185575
0.359457,0.175089
0.504413,0.177189
0.334867,0.163703
0.448268,0.182194
0.487675,0.181290
0.625966,0.191153
0.525006,0.189163
0.169231,0.172246
0.410695,0.230848
0.619243,0.208948
0.194651,0.305178
0.740857,0.341480
0.288363,0.251406
0.380560,0.237560
0.505592,0.212751
0.647826,0.184281
0.223824,0.213295
0.797056,0.205261
0.594263,0.218889
0.672337,0.235419
0.428690,0.225313
0.268937,0.194813
0.521149,0.176104
0.433519,0.181319
0.667366,0.195911
0.394757,0.170861
0.518204,0.165778
0.601554,0.197361
0.552360,0.204187
0.432362,0.186219
0.637605,0.195459
0.769531,0.193991
0.562039,0.206751
0.531844,0.189472
0.257365,0.171093
0.724434,0.186465
0.232902,0.183865
0.695803,0.176994
0.680226,0.216081
