train_loss,valid_loss
1.037902,1.059034
1.028237,0.996780
1.043584,1.031878
1.006409,1.129407
1.012597,1.029867
1.015677,0.995990
1.034854,1.040077
1.015611,0.959445
1.036730,0.994199
1.007821,0.949099
0.992363,1.042621
0.975518,0.962267
0.983091,0.966521
1.002046,0.944850
0.974537,0.922644
0.951866,0.845646
0.951306,0.921815
0.947161,0.881589
0.940187,0.878420
0.883568,0.862048
0.930226,0.842460
0.934230,0.864716
0.883324,0.869282
0.900206,0.792241
0.870631,0.801730
0.860879,0.794014
0.843756,0.727412
0.875249,0.747844
0.867873,0.741856
0.827912,0.672201
0.804208,0.662499
0.825907,0.575887
0.742824,0.624521
0.726388,0.622417
0.756336,0.517325
0.714718,0.535284
0.708212,0.502857
0.733670,0.475465
0.578304,0.479928
0.639408,0.423723
0.677120,0.386089
0.513109,0.399717
0.595924,0.377212
0.515026,0.335939
0.647509,0.324333
0.444118,0.325942
0.444234,0.335455
0.408921,0.305658
0.551750,0.320077
0.668408,0.284826
0.555121,0.330798
0.656882,0.295809
0.581851,0.258200
0.404354,0.259911
0.524497,0.243916
0.602902,0.229280
0.418361,0.258397
0.463967,0.266556
0.430245,0.211799
0.561532,0.261166
0.515080,0.257067
0.386805,0.231518
0.491804,0.253049
0.328128,0.197819
0.534777,0.223300
0.808225,0.243098
0.255219,0.223338
0.392533,0.258652
0.598653,0.204887
0.481645,0.237233
0.680697,0.181776
0.196008,0.233729
0.534574,0.221366
0.438249,0.219063
0.495898,0.202895
0.528623,0.264234
0.304474,0.231829
0.205729,0.237643
0.511770,0.185193
0.447702,0.215120
0.220574,0.208461
0.310771,0.205225
0.205947,0.236834
0.514892,0.205664
0.281933,0.216397
0.255614,0.209178
0.277875,0.215228
0.418420,0.232050
0.533210,0.211693
0.658011,0.189822
0.170381,0.238748
0.418950,0.209624
0.547413,0.209316
0.324770,0.188009
0.582640,0.164682
0.585916,0.230048
0.260883,0.246197
0.525164,0.218163
0.555956,0.206038
0.224939,0.236364
0.202176,0.208742
0.328846,0.203954
0.483502,0.241215
0.429602,0.206285
0.250788,0.207336
0.190531,0.206859
0.498180,0.194822
0.362756,0.180590
0.418213,0.186576
0.516085,0.204198
0.504211,0.232237
0.484601,0.199753
0.415839,0.230159
0.312984,0.217767
0.446585,0.214000
0.315516,0.202914
0.333491,0.204349
0.321598,0.169223
0.400161,0.193150
0.454925,0.202951
0.679855,0.159485
0.658948,0.209595
0.184400,0.210055
0.564613,0.188561
0.214223,0.222745
0.232548,0.227897
0.356484,0.239444
0.179525,0.215911
0.417611,0.186389
